,Capacity,DaysShowedInWeek,Index,LastDate,Lifetime,Movie,OccAtWeek,OccPer,OtherReleasesInWeek,ReleaseDate,ShowsInWeek,WeeksSinceRelease
250,770,7,250,2015-04-21,7,HO00000815,699,0.907792207792207,12,2015-02-27,7,3
251,770,7,251,2015-04-21,7,HO00000815,670,0.8701298701298701,11,2015-02-27,7,4
252,770,7,252,2015-04-21,7,HO00000815,644,0.8363636363636361,5,2015-02-27,7,5
253,770,7,253,2015-04-21,7,HO00000815,692,0.8987012987012981,9,2015-02-27,7,6
254,770,7,254,2015-04-21,7,HO00000815,417,0.541558441558441,5,2015-02-27,7,7
255,1320,5,255,2015-03-05,1,HO00000816,917,0.694696969696969,7,2015-02-27,12,0
256,440,2,256,2015-03-05,1,HO00000816,165,0.375,10,2015-02-27,4,1
257,7420,5,257,2015-04-01,5,HO00000817,7076,0.9536388140161721,7,2015-02-27,27,0
258,6870,7,258,2015-04-01,5,HO00000817,5227,0.7608442503639,10,2015-02-27,26,1
259,4560,7,259,2015-04-01,5,HO00000817,3049,0.6686403508771931,10,2015-02-27,16,2
260,4340,7,260,2015-04-01,5,HO00000817,2657,0.61221198156682,12,2015-02-27,14,3
261,2790,7,261,2015-04-01,5,HO00000817,1576,0.5648745519713261,11,2015-02-27,9,4
262,310,1,262,2015-04-01,5,HO00000817,198,0.638709677419354,5,2015-02-27,1,5
263,550,5,263,2015-03-04,1,HO00000818,404,0.7345454545454541,7,2015-02-27,5,0
264,110,1,264,2015-03-04,1,HO00000818,31,0.281818181818181,10,2015-02-27,1,1
265,550,5,265,2015-03-11,2,HO00000820,345,0.6272727272727271,10,2015-02-27,5,1
266,110,1,266,2015-03-11,2,HO00000820,50,0.45454545454545403,10,2015-02-27,1,2
267,360,3,267,2015-03-01,0,HO00000821,253,0.7027777777777771,7,2015-02-27,3,0
268,6820,5,268,2015-04-01,4,HO00000822,5445,0.7983870967741931,10,2015-03-06,22,0
269,6560,7,269,2015-04-01,4,HO00000822,3851,0.587042682926829,10,2015-03-06,23,1
270,3030,7,270,2015-04-01,4,HO00000822,1577,0.52046204620462,12,2015-03-06,11,2
271,1170,7,271,2015-04-01,4,HO00000822,680,0.581196581196581,11,2015-03-06,7,3
272,110,1,272,2015-04-01,4,HO00000822,92,0.8363636363636361,5,2015-03-06,1,4
273,440,4,273,2015-03-09,0,HO00000823,294,0.6681818181818181,10,2015-03-06,4,0
274,550,5,274,2015-03-12,1,HO00000824,480,0.872727272727272,10,2015-03-06,5,0
275,220,2,275,2015-03-12,1,HO00000824,201,0.913636363636363,10,2015-03-06,2,1
276,550,5,276,2015-03-12,1,HO00000826,333,0.605454545454545,10,2015-03-06,5,0
277,220,2,277,2015-03-12,1,HO00000826,52,0.23636363636363603,10,2015-03-06,2,1
278,1770,5,278,2015-03-12,1,HO00000827,1100,0.621468926553672,10,2015-03-06,7,0
279,620,2,279,2015-03-12,1,HO00000827,177,0.285483870967741,10,2015-03-06,2,1
280,600,5,280,2015-03-12,1,HO00000828,508,0.846666666666666,10,2015-03-06,5,0
281,240,2,281,2015-03-12,1,HO00000828,169,0.704166666666666,10,2015-03-06,2,1
282,655,5,282,2015-03-19,2,HO00000831,496,0.757251908396946,10,2015-03-06,5,0
283,1266,6,283,2015-03-19,2,HO00000831,555,0.43838862559241604,10,2015-03-06,10,1
284,262,2,284,2015-03-19,2,HO00000831,65,0.24809160305343503,12,2015-03-06,2,2
285,550,5,285,2015-03-12,1,HO00000832,335,0.609090909090909,10,2015-03-06,5,0
286,220,2,286,2015-03-12,1,HO00000832,62,0.281818181818181,10,2015-03-06,2,1
287,765,6,287,2015-03-12,1,HO00000833,490,0.6405228758169931,10,2015-03-05,6,0
288,262,2,288,2015-03-12,1,HO00000833,99,0.377862595419847,10,2015-03-05,2,1
289,262,2,289,2015-03-26,2,HO00000834,211,0.8053435114503811,10,2015-03-16,2,0
290,2142,7,290,2015-03-26,2,HO00000834,1483,0.6923436041083101,12,2015-03-16,10,1
